name,billing_address,billing_city,billing_state,billing_zip,shipping_name,shipping_address,shipping_city,shipping_state,shipping_zip,print_as,contact_firstname,contact_lastname,contact_email,phone,type,
Goat.Sheep.Cow. LLC,106 Church Street,Charleston,SC,29401,Goat.Sheep.Cow. LLC,106 Church Street,Charleston,SC,29401,Goat.Sheep.Cow. LLC,Patty,Floersheimer,,,B,
Peninsula Grill,112 N. Market Street,Charleston,SC,29401,Peninsula Grill,112 N. Market Street,Charleston,SC,29401,Peninsula Grill,Graham,Dailey,,,B,
The Mills House Wyndham Grand Hotel,115 Meeting Street,Charleston,SC,29401,The Mills House Wyndham Grand Hotel,115 Meeting Street,Charleston,SC,29401,The Mills House Wyndham Grand Hotel,Christina,Palmer,,,B,
Anson's,12 Anson St.,Charleston,SC,29401,Anson's,12 Anson St.,Charleston,SC,29401,Anson's,Jeremy,Holst,,,B,
Bull St. Gourmet - King St.,120 King Street,Charleston,SC,29401,Bull St. Gourmet - King St.,120 King Street,Charleston,SC,29401,Bull St. Gourmet - King St.,Derek,,,,B,
Queen St. Grocery,133 Queen St.,Charleston,SC,29401,Queen St. Grocery,133 Queen St.,Charleston,SC,29401,Queen St. Grocery,Rob,Bouton,,,B,
Circa 1886,149 Wentworth Street,Charleston,SC,29401,Circa 1886,149 Wentworth Street,Charleston,SC,29401,Circa 1886,Junnie,Lai,,,B,
Le Farfalle,15 Beaufain St.,Charleston,SC,29401,Le Farfalle,15 Beaufain St.,Charleston,SC,29401,Le Farfalle,Michael,Toscano,,,B,
Burbage's Grocery,157 Broad Street,Charleston,SC,29401,Burbage's Grocery,157 Broad Street,Charleston,SC,29401,Burbage's Grocery,George and Lisa,Bowen,,,B,
Lagunitas Taproom,161 E. Bay St.,Charleston,SC,29401,Lagunitas Taproom,161 E. Bay St.,Charleston,SC,29401,Lagunitas Taproom,Evelyn,Tsang,,,B,
Southend Brewery,161 East Bay St.,Charleston,SC,29401,Southend Brewery,161 East Bay St.,Charleston,SC,29401,Southend Brewery,Garrett,Priester,,,B,
Stars,161 East Bay St.,Charleston,SC,29401,Stars,161 East Bay St.,Charleston,SC,29401,Stars,Heather,Greene,,,B,
In the Kitchen with Chef Bob Waggoner,164 A Market,Charleston,SC,29401,In the Kitchen with Chef Bob Waggoner,164 A Market,Charleston,SC,29401,In the Kitchen with Chef Bob Waggoner,Bob,Waggoner,,,B,
Cypress Lowcountry Grill,167 East Bay Street,Charleston,SC,29401,Cypress Lowcountry Grill,167 East Bay Street,Charleston,SC,29401,Cypress Lowcountry Grill,Craig,Deihl,,,B,
The Gin Joint,182 East Bay Street,Charleston,SC,29401,The Gin Joint,182 East Bay Street,Charleston,SC,29401,The Gin Joint,MariElena (Dickson),Raya,,,B,
Magnolia's,185 E Bay St,Charleston,SC,29401,Magnolia's,185 E Bay St,Charleston,SC,29401,Magnolia's,Kelly,Franz,,,B,
Blossom,185 E Bay St # 200,Charleston,SC,29401,Blossom,185 E Bay St # 200,Charleston,SC,29401,Blossom,Adam,Close,,,B,
Charleston Cooks,194 East Bay Street,Charleston,SC,29401,Charleston Cooks,194 East Bay Street,Charleston,SC,29401,Charleston Cooks,Sheri,Wiggins,,,B,
Charleston Tea Party Private Tour,194 Tradd St.,Charleston,SC,29401,Charleston Tea Party Private Tour,194 Tradd St.,Charleston,SC,29401,Charleston Tea Party Private Tour,Laura,Wichmann,,,B,
Carmellas Dessert Bar,198 East Bay Street,Charleston,SC,29401,Carmellas Dessert Bar,198 East Bay Street,Charleston,SC,29401,Carmellas Dessert Bar,Mikey,Compton,,,B,
High Cotton,199 East Bay St.,Charleston,SC,29401,High Cotton,199 East Bay St.,Charleston,SC,29401,High Cotton,Shawn,Kelly,,,B,
McCrady's,2 Unity Alley,Charleston,SC,29401,McCrady's,2 Unity Alley,Charleston,SC,29401,McCrady's,Daniel,Heinze,,,B,
McCrady's - Minero,2 Unity Alley,Charleston,SC,29401,McCrady's - Minero,2 Unity Alley,Charleston,SC,29401,McCrady's - Minero,Wes,Grubbs,,,B,
Charleston Grill,205 Meeting St.,Charleston,SC,29401,Charleston Grill,205 Meeting St.,Charleston,SC,29401,Charleston Grill,Jon,Mitchell,,,B,
Eli's Table,209 Meeting St.,Charleston,SC,29401,Eli's Table,209 Meeting St.,Charleston,SC,29401,Eli's Table,Cory,,,,B,
Whisk Bakery,209 Meeting Street,Charleston,SC,29401,Whisk Bakery,209 Meeting Street,Charleston,SC,29401,Whisk Bakery,Eric,Gaffin,,,B,
ICE BOX,2220 Old School Drive,Charleston,SC,29401,ICE BOX,2220 Old School Drive,Charleston,SC,29401,ICE BOX,Boris,,,,B,
Grill 225,225 E Bay St,Charleston,SC,29401,Grill 225,225 E Bay St,Charleston,SC,29401,Grill 225,Dimitri,.,,,B,
FIG Restaurant,232 Meeting Street,Charleston,SC,29401,FIG Restaurant,232 Meeting Street,Charleston,SC,29401,FIG Restaurant,Jason,Stanhope,,,B,
Molly Darcys,235 East Bay Street,Charleston,SC,29401,Molly Darcys,235 East Bay Street,Charleston,SC,29401,Molly Darcys,Sarah,Riney,,,B,
The Vendue,27 Vendue Range,Charleston,SC,29401,The Vendue,27 Vendue Range,Charleston,SC,29401,The Vendue,Forrest,Parker,,,B,
Lowcountry Olive Oil,272 Meeting Street,Charleston,SC,29401,Lowcountry Olive Oil,272 Meeting Street,Charleston,SC,29401,Lowcountry Olive Oil,Laurie,Benjamin,,,B,
C of C - Office of Sustainability,284 King Street,Charleston,SC,29401,C of C - Office of Sustainability,284 King Street,Charleston,SC,29401,C of C - Office of Sustainability,Ashlyn,Spilis-Hochschild,,,B,
167 Raw,289 East Bay Street,Charleston,SC,29401,167 Raw,289 East Bay Street,Charleston,SC,29401,167 Raw,Jesse,Sandole,,,B,
Harris Teeter #277,290 East Bay St,Charleston,SC,29401,Harris Teeter #277,290 East Bay St,Charleston,SC,29401,Harris Teeter #277,Tristan,Jackson,,,B,
Aramark-CofC-Liberty St. Fresh Foods,30 St. Phillips St.,Charleston,SC,29401,Aramark-CofC-Liberty St. Fresh Foods,30 St. Phillips St.,Charleston,SC,29401,Aramark-CofC-Liberty St. Fresh Foods,Jimmy,Priest,,,B,
Beech,32 State Street,Charleston,SC,29401,Beech,32 State Street,Charleston,SC,29401,Beech,Keegan,Bird,,,B,
Verde - Downtown,347 King Street,Charleston,SC,29401,Verde - Downtown,347 King Street,Charleston,SC,29401,Verde - Downtown,Jennifer,Ferrebee,,,B,
Spirit Line Cruises,360 Concord St. Suite 201,Charleston,SC,29401,Spirit Line Cruises,360 Concord St.,Charleston,SC,29401,Spirit Line Cruises,Shawn,Eustace,,,B,
Historic Charleston Foundation,40 East Bay St,Charleston,SC,29401,Historic Charleston Foundation,40 East Bay St,Charleston,SC,29401,Historic Charleston Foundation,Wimberly,Fair,,,B,
O-KU,463 King Street,Charleston,SC,29401,O-KU,463 King Street,Charleston,SC,29401,O-KU,Sean Park,0-ku,,,B,
Collective Coffee,50 Laurens St.,Charleston,SC,29401,Collective Coffee,50 Laurens St.,Charleston,SC,29401,Collective Coffee,Sinan,Aktar,,,B,
Caviar and Bananas,51 George St,Charleston,SC,29401,Caviar and Bananas,51 George St,Charleston,SC,29401,Caviar and Bananas,,,,,B,
Grand Bohemian Hotel Charleston,55 Wentworth St.,Charleston,SC,29401,Grand Bohemian Hotel Charleston,55 Wentworth St.,Charleston,SC,29401,Grand Bohemian Hotel Charleston,Melissa,Caples,,,B,
Loluma,6 North Atlantic Wharf,Charleston,SC,29401,Loluma,6 North Atlantic Wharf,Charleston,SC,29401,Loluma,Leesa,Phipps,,,B,
Tabbuli,6 north market street,Charleston,SC,29401,Tabbuli,6 north market street,Charleston,SC,29401,Tabbuli,John,Sumner,,,B,
The Lee Brothers,62 Broad Street Suite 1-C,Charleston,SC,29401,The Lee Brothers,62 Broad Street,Charleston,SC,29401,The Lee Brothers,Matt/ Ted,Lee,,,B,
Gilmore Bar & Wine Service,68 Rutledge Avenue,Charleston,SC,29401,Gilmore Bar & Wine Service,68 Rutledge Avenue,Charleston,SC,29401,Gilmore Bar & Wine Service,Vince,Gilmore,,,B,
Barony Tavern,68 Wentworth St,Charleston,SC,29401,Barony Tavern,68 Wentworth St,Charleston,SC,29401,Barony Tavern,Bob,Carter,,,B,
Black Tap Coffee,70 1/2 Beaufain St.,Charleston,SC,29401,Black Tap Coffee,70 1/2 Beaufain St.,Charleston,SC,29401,Black Tap Coffee,Ross,Jett,,,B,
HUSK,76 Queen Street,Charleston,SC,29401,HUSK,76 Queen Street,Charleston,SC,29401,HUSK,Travis,Grimes,,,B,
SIB Development,796 Meeting St.,Charleston,SC,29401,SIB Development,796 Meeting St.,Charleston,SC,29401,SIB Development,Jordan,Marhoefur,,,B,
The Cabell House,8 Church Street,Charleston,SC,29401,The Cabell House,8 Church Street,Charleston,SC,29401,The Cabell House,Randy,Cabell,,,B,
Chosen Treasures,8 Legare Street,Charleston,SC,29401,Chosen Treasures,8 Legare Street,Charleston,SC,29401,Chosen Treasures,Stephen,Ziff,,,B,
82 Queen,82 Queen St.,Charleston,SC,29401,82 Queen,82 Queen St.,Charleston,SC,29401,82 Queen,Nick,Ingram,,,B,
Porch Rockin',84 Society St,Charleston,SC,29401,Porch Rockin',84 Society St,Charleston,SC,29401,Porch Rockin',,,,,B,
Salthouse Catering,9 Broad Street Suite B,Charleston,SC,29401,Salthouse Catering,9 Broad Street Suite B,Charleston,SC,29401,Salthouse Catering,Todd,Mazurek,,,B,
Aramark - Marty's Place,96 Wentworth Street,Charleston,SC,29401,Aramark - Marty's Place,96 Wentworth Street,Charleston,SC,29401,Aramark - Marty's Place,Dana,Echert,,,B,
Sweet CeCe's,99 South Market Street,Charleston,SC,29401,Sweet CeCe's,99 South Market Street,Charleston,SC,29401,Sweet CeCe's,Ken,Calabro,,,B,
GFC Samples,990 Morrison Drive,Charleston,SC,29401,GFC Samples,990 Morrison Drive,Charleston,SC,29401,GFC Samples,Sara,Clow,,,B,
JuiceBox Charleston, ,Charleston,SC,29401,JuiceBox Charleston,Unk,Charleston,SC,29401,JuiceBox Charleston,Andrea,Sansom,,,B,
Coastal Conservation League,328 East Bay,Charleston,SC,29402,Coastal Conservation League,328 East Bay,Charleston,SC,29402,Coastal Conservation League,Dana,Beach,,,B,
Ted's Butcher Block,334 East Bay Street,Charleston,SC,29402,Ted's Butcher Block,334 East Bay Street,Charleston,SC,29402,Ted's Butcher Block,Ted,.,,,B,
Poogan's Porch,P.O. Box 534,Charleston,SC,29402,Poogan's Porch,P.O. Box 534,Charleston,SC,29402,Poogan's Porch,Daniel,Doyle,,,B,
GFC-Hold,1 Cool Blow Street Unit #144,Charleston,SC,29403,GFC-Hold,1 Cool Blow Street,Charleston,SC,29403,GFC-Hold,Benton,Montgomery,,,B,
Revelry Brewery Co.,10 Conroy St.,Charleston,SC,29403,Revelry Brewery Co.,10 Conroy St.,Charleston,SC,29403,Revelry Brewery Co.,Ryan,Coker,,,B,
Sweet & Savory Cafe,100A Spring Street,Charleston,SC,29403,Sweet & Savory Cafe,100A Spring Street,Charleston,SC,29403,Sweet & Savory Cafe,Jessica,Wilkie,,,B,
H&R Sweet Shop,102 Royal Avenue,Charleston,SC,29403,H&R Sweet Shop,102 Royal Avenue,Charleston,SC,29403,H&R Sweet Shop,Coffee,Johnson,,,B,
Martha Lou's Kitchen,1068 Morrison Drive,Charleston,SC,29403,Martha Lou's Kitchen,1068 Morrison Drive,Charleston,SC,29403,Martha Lou's Kitchen,Lilly,Smith,,,B,
Edmund's Oast,1081 Morrison Drive,Charleston,SC,29403,Edmund's Oast,1081 Morrison Drive,Charleston,SC,29403,Edmund's Oast,Reid,Henninger,,,B,
Butcher & Bee Charleston,1085 Morrison Drive,Charleston,SC,29403,Butcher & Bee Charleston,1085 Morrison Drive,Charleston,SC,29403,Butcher & Bee Charleston,Chelsey,Conrad,,,B,
Ms. Roses,1090 Sam Rittenburg Blvd.,Charleston,SC,29403,Ms. Roses,1090 Sam Rittenburg Blvd.,Charleston,SC,29403,Ms. Roses,Josh,Reaves,,,B,
The Harbinger,1107 King Street,Charleston,SC,29403,The Harbinger,1107 King Street,Charleston,SC,29403,The Harbinger,Cameron (addt. contact),Neal,,,B,
Tattooed Moose,1137 Morrison Drive,Charleston,SC,29403,Tattooed Moose,1137 Morrison Drive,Charleston,SC,29403,Tattooed Moose,.,.,,,B,
Hominy Grill,119 Spring St.,Charleston,SC,29403,Hominy Grill,119 Spring St.,Charleston,SC,29403,Hominy Grill,Trey,Dutton,,,B,
Craftsmen Tap House,12 Cumberland Street,Charleston,SC,29403,Craftsmen Tap House,12 Cumberland Street,Charleston,SC,29403,Craftsmen Tap House,Todd,Garrigan,,,B,
Home Team BBQ-Downtown,126 Williman St,Charleston,SC,29403,Home Team BBQ-Downtown,126 Williman St,Charleston,SC,29403,Home Team BBQ-Downtown,Taylor,Garrigan,,,B,
Angela's Table,13 Larnes Street #2,Charleston,SC,29403,Angela's Table,13 Larnes Street,Charleston,SC,29403,Angela's Table,Angela,Webb,,,B,
Rutledge Cab Co.,1300 Rutledge Ave,Charleston,SC,29403,Rutledge Cab Co.,1300 Rutledge Ave,Charleston,SC,29403,Rutledge Cab Co.,Bryan,Lindsay,,,B,
The Alley,131 Columbus Street,Charleston,SC,29403,The Alley,131 Columbus Street,Charleston,SC,29403,The Alley,Oaks,Bourne,,,B,
The Eclectic Cafe and Vinyl,132 Spring St. Unit A,Charleston,SC,29403,The Eclectic Cafe and Vinyl,132 Spring St. Unit A,Charleston,SC,29403,The Eclectic Cafe and Vinyl,Garrett,Garnos,,,B,
Burwells Stone Fire Grill,14 North Market Street,Charleston,SC,29403,Burwells Stone Fire Grill,14 North Market Street,Charleston,SC,29403,Burwells Stone Fire Grill,Jordan,Moore,,,B,
Fatty's Beer Works,1436 Meeting Street,Charleston,SC,29403,Fatty's Beer Works,1436 Meeting Street,Charleston,SC,29403,Fatty's Beer Works,David,McLain,,,B,
Empanada Mamma,147 Gordon Street Apt A,Charleston,SC,29403,Empanada Mamma,147 Gordon Street,Charleston,SC,29403,Empanada Mamma,Emily,Kahn,,,B,
Charleston Marriott,170 Lockwood Blvd,Charleston,SC,29403,Charleston Marriott,170 Lockwood Blvd,Charleston,SC,29403,Charleston Marriott,,,,,B,
Aramark - Citadel Mess Hall,171 Moultrie St,Charleston,SC,29403,Aramark - Citadel Mess Hall,171 Moultrie St,Charleston,SC,29403,Aramark - Citadel Mess Hall,Mary-Louise,Butt,,,B,
Aramark - Citadel Canteen,171 Moultrie Street,Charleston,SC,29403,Aramark - Citadel Canteen,171 Moultrie Street,Charleston,SC,29403,Aramark - Citadel Canteen,Sarah,Wickenheiser,,,B,
Aramark - Citadel Catering,171 Moultrie Street,Charleston,SC,29403,Aramark - Citadel Catering,171 Moultrie Street,Charleston,SC,29403,Aramark - Citadel Catering,Brian,Fox,,,B,
The Wickliffe House,178 Ashley Avenue,Charleston,SC,29403,The Wickliffe House,178 Ashley Avenue,Charleston,SC,29403,The Wickliffe House,Wendy,Gleim,,,B,
La Morra Pizzeria,178 St Margaret St,Charleston,SC,29403,La Morra Pizzeria,178 St Margaret St,Charleston,SC,29403,La Morra Pizzeria,Zach,Swemle,,,B,
Sorghum and Salt,186 Coming Street,Charleston,SC,29403,Sorghum and Salt,186 Coming Street,Charleston,SC,29403,Sorghum and Salt,Tres,Jackson,,,B,
Two Boroughs Larder,186 Coming Street,Charleston,SC,29403,Two Boroughs Larder,186 Coming Street,Charleston,SC,29403,Two Boroughs Larder,Josh,Keeler,,,B,
Brown's Court Bakery,199 St Philip St,Charleston,SC,29403,Brown's Court Bakery,199 St Philip St,Charleston,SC,29403,Brown's Court Bakery,David,Schnell,,,B,
Xiao Bao Biscuit,224 Rutledge Avenue,Charleston,SC,29403,Xiao Bao Biscuit,224 Rutledge Avenue,Charleston,SC,29403,Xiao Bao Biscuit,Joshua,Walker,,,B,
Wise Buck LLC,23 Ann St,Charleston,SC,29403,Wise Buck LLC,23 Ann St,Charleston,SC,29403,Wise Buck LLC,Chris,.,,,B,
Harold's Cabin,247 Congress St.,Charleston,SC,29403,Harold's Cabin,247 Congress St.,Charleston,SC,29403,Harold's Cabin,John,Schumacher,,,B,
The Dewberry,334 Meeting Street,Charleston,SC,29403,The Dewberry,334 Meeting Street,Charleston,SC,29403,The Dewberry,Bert,Anderson,,,B,
Semilla,347 Nunan Street,Charleston,SC,29403,Semilla,347 Nunan Street,Charleston,SC,29403,Semilla,Jillian,Schenzel,,,B,
The Charleston Museum,360 Meeting Street,Charleston,SC,29403,The Charleston Museum,360 Meeting Street,Charleston,SC,29403,The Charleston Museum,Susan,McKellar,,,B,
Bricklane Catering,38 Romney St.,Charleston,SC,29403,Bricklane Catering,38 Romney St.,Charleston,SC,29403,Bricklane Catering,Charlie,Giordino,,,B,
Michael's On The Alley,39 John St A,Charleston,SC,29403,Michael's On The Alley,39 John St,Charleston,SC,29403,Michael's On The Alley,Michael,Greene,,,B,
39 Rue De Jean,39 John Street,Charleston,SC,29403,39 Rue De Jean,39 John Street,Charleston,SC,29403,39 Rue De Jean,Aaron,Lemieux,,,B,
North Central Delicatessen,396 Huger Street,Charleston,SC,29403,North Central Delicatessen,396 Huger Street,Charleston,SC,29403,North Central Delicatessen,Paul,Cheney,,,B,
Vincent Chicco's,39-G John Street,Charleston,SC,29403,Vincent Chicco's,39-G John Street,Charleston,SC,29403,Vincent Chicco's,Aaron,Lemieux,,,B,
The Grocery,4 Cannon St,Charleston,SC,29403,The Grocery,4 Cannon St,Charleston,SC,29403,The Grocery,Kevin,Johnson,,,B,
Virginia's On King,412 King Street,Charleston,SC,29403,Virginia's On King,412 King Street,Charleston,SC,29403,Virginia's On King,Eddie,Wiles,,,B,
Trattoria Lucca,41-A Bogard Street,Charleston,SC,29403,Trattoria Lucca,41-A Bogard Street,Charleston,SC,29403,Trattoria Lucca,Ken,Vedrinski,,,B,
Charleston Restaurant Association,423 King Street,Charleston,SC,29403,Charleston Restaurant Association,423 King Street,Charleston,SC,29403,Charleston Restaurant Association,Kathy,Britzius,,,B,
Charleston Area CVB,423 King Street,Charleston,SC,29403,Charleston Area CVB,423 King Street,Charleston,SC,29403,Charleston Area CVB,Tish,Jaynes,,,B,
The Meeting Room Restaurant,425 Meeting Street,Charleston,SC,29403,The Meeting Room Restaurant,425 Meeting Street,Charleston,SC,29403,The Meeting Room Restaurant,Ramon - chef,Taimanglo,,,B,
Halls Chophouse,434 King St,Charleston,SC,29403,Halls Chophouse,434 King St,Charleston,SC,29403,Halls Chophouse,Adam,Jakins,,,B,
Proof,437 King Street,Charleston,SC,29403,Proof,437 King Street,Charleston,SC,29403,Proof,Craig,Nelson,,,B,
Crooked Crown,441 Meeting Street Unit F,Charleston,SC,29403,Crooked Crown,441 Meeting Street,Charleston,SC,29403,Crooked Crown,Caroline,Woodruff,,,B,
Fish - Banquet,442 King St.,Charleston,SC,29403,Fish - Banquet,442 King St.,Charleston,SC,29403,Fish - Banquet,Eric,Williams,,,B,
FISH,442 King Street,Charleston,SC,29403,FISH,442 King Street,Charleston,SC,29403,FISH,David,Schuttenberg,,,B,
Parlor Deluxe,45 1/2 Spring St,Charleston,SC,29403,Parlor Deluxe,45 1/2 Spring St,Charleston,SC,29403,Parlor Deluxe,Emily,Hahn,,,B,
Warehouse,45 1/2 Spring St.,Charleston,SC,29403,Warehouse,45 1/2 Spring St.,Charleston,SC,29403,Warehouse,Emily,Hahn,,,B,
Monza Pizza,451 King Street,Charleston,SC,29403,Monza Pizza,451 King Street,Charleston,SC,29403,Monza Pizza,Leila,Schardt,,,B,
Republic Garden & Lounge,462 King St.,Charleston,SC,29403,Republic Garden & Lounge,462 King St.,Charleston,SC,29403,Republic Garden & Lounge,shelly,.,,,B,
"Lewis Barbecue of Charleston, LLC",464 N Nassau Street,Charleston,SC,29403,"Lewis Barbecue of Charleston, LLC",464 N Nassau Street,Charleston,SC,29403,"Lewis Barbecue of Charleston, LLC",John,Lewis,,,B,
The Rarebit,474 King St.,Charleston,SC,29403,The Rarebit,474 King St.,Charleston,SC,29403,The Rarebit,Brent,Sweatman,,,B,
The Cocktail Club,479 King Street #200,Charleston,SC,29403,The Cocktail Club,479 King Street,Charleston,SC,29403,The Cocktail Club,Jackson,Holland,,,B,
The Macintosh,479B King Street,Charleston,SC,29403,The Macintosh,479B King Street,Charleston,SC,29403,The Macintosh,Jeremiah (Chris is Sous),Bacon,,,B,
Smoke,487 King S,Charleston,SC,29403,Smoke,487 King S,Charleston,SC,29403,Smoke,Joe,Wolfson,,,B,
The Darling,513 King Street,Charleston,SC,29403,The Darling,513 King Street,Charleston,SC,29403,The Darling,Joe,Dimaio,,,B,
Indaco,526 King St.,Charleston,SC,29403,Indaco,526 King St.,Charleston,SC,29403,Indaco,Jennifer,Dailey,,,B,
The Ordinary,544 King St.,Charleston,SC,29403,The Ordinary,544 King St.,Charleston,SC,29403,The Ordinary,Mike,Lata,,,B,
Prohibition,547 King Street,Charleston,SC,29403,Prohibition,547 King Street,Charleston,SC,29403,Prohibition,Greg,Garrison,,,B,
Bay Street Biergarten,549 East Bay,Charleston,SC,29403,Bay Street Biergarten,549 East Bay,Charleston,SC,29403,Bay Street Biergarten,Greg,.,,,B,
King St. Public House,549 King St,Charleston,SC,29403,King St. Public House,549 King St,Charleston,SC,29403,King St. Public House,John,Milner,,,B,
Autobanh,55 Peachtree St. Apt. A,Charleston,SC,29403,Autobanh,55 Peachtree St.,Charleston,SC,29403,Autobanh,Jeanine,Cafaro,,,B,
HoM,563 King Street,Charleston,SC,29403,HoM,563 King Street,Charleston,SC,29403,HoM,,,,,B,
Barsa,58 Line Street,Charleston,SC,29403,Barsa,58 Line Street,Charleston,SC,29403,Barsa,Drazen,Romic,,,B,
Sugar Bake Shop,"59 1/2 Cannon Street  Charleston, SC 29403",Charleston,SC,29403,Sugar Bake Shop,"59 1/2 Cannon Street  Charleston, SC 29403",Charleston,SC,29403,Sugar Bake Shop,"Bill, or  Doug",,,,B,
"Spade and Clover CSA-Johns Island, SC",6 Kennilworth Ave B,Charleston,SC,29403,"Spade and Clover CSA-Johns Island, SC",6 Kennilworth Ave B,Charleston,SC,29403,"Spade and Clover CSA-Johns Island, SC",John,Warren,,,B,
Chez Nous,6 Payne Court,Charleston,SC,29403,Chez Nous,6 Payne Court,Charleston,SC,29403,Chez Nous,Jill,Mathias,,,B,
Spero,616 Meeting St.,Charleston,SC,29403,Spero,616 Meeting St.,Charleston,SC,29403,Spero,Rob,Laudicina,,,B,
The Daily,652 B. King St.,Charleston,SC,29403,The Daily,652 B. King St.,Charleston,SC,29403,The Daily,Edward,.,,,B,
"Paw Paw - Southern Plates, LLC",68 Line St.,Charleston,SC,29403,"Paw Paw - Southern Plates, LLC",68 Line St.,Charleston,SC,29403,"Paw Paw - Southern Plates, LLC",Jared,Rogers,,,B,
26 Divine,682 King St,Charleston,SC,29403,26 Divine,682 King St,Charleston,SC,29403,26 Divine,,,,,B,
Rappahannock Oyster Bar,701 E. Bay St Suite 111,Charleston,SC,29403,Rappahannock Oyster Bar,701 E. Bay St,Charleston,SC,29403,Rappahannock Oyster Bar,Emily,Moffitt,,,B,
Mercantile and Mash,701 East Bay Street,Charleston,SC,29403,Mercantile and Mash,701 East Bay Street,Charleston,SC,29403,Mercantile and Mash,Crista,Polinsky,,,B,
"EOBC, LLC",706 Meeting Street,Charleston,SC,29403,"EOBC, LLC",706 Meeting Street,Charleston,SC,29403,"EOBC, LLC",,,,,B,
Workshop,706 Meeting Street,Charleston,SC,29403,Workshop,706 Meeting Street,Charleston,SC,29403,Workshop,Mac,Martin,,,B,
Pancito & Lefty,708 King St. Unit 1,Charleston,SC,29403,Pancito & Lefty,708 King St.,Charleston,SC,29403,Pancito & Lefty,James,Poole,,,B,
Little Jack's Tavern,710 King Street,Charleston,SC,29403,Little Jack's Tavern,710 King Street,Charleston,SC,29403,Little Jack's Tavern,John,Amato,,,B,
JD Loves Cheese - Workshop,718 Meeting Street,Charleston,SC,29403,JD Loves Cheese - Workshop,718 Meeting Street,Charleston,SC,29403,JD Loves Cheese - Workshop,Cynthia,Wong,,,B,
Leon's,721 King St.,Charleston,SC,29403,Leon's,721 King St.,Charleston,SC,29403,Leon's,Ben,,,,B,
WILDFLOUR PASTRY,73 Spring Street,Charleston,SC,29403,WILDFLOUR PASTRY,73 Spring Street,Charleston,SC,29403,WILDFLOUR PASTRY,LAURA,.,,,B,
The Park Cafe,730 Rutledge Ave.,Charleston,SC,29403,The Park Cafe,730 Rutledge Ave.,Charleston,SC,29403,The Park Cafe,Blair,Machado,,,B,
Cannon Green,80 A Cannon St.,Charleston,SC,29403,Cannon Green,80 A Cannon St.,Charleston,SC,29403,Cannon Green,Ellie,O'Brian,,,B,
Lowcountry Open Land Trust,80 Alexander Street,Charleston,SC,29403,Lowcountry Open Land Trust,80 Alexander Street,Charleston,SC,29403,Lowcountry Open Land Trust,,,,,B,
Aramark - CofC - City Bistro,80 St. Phillip St.,Charleston,SC,29403,Aramark - CofC - City Bistro,80 St. Phillip St.,Charleston,SC,29403,Aramark - CofC - City Bistro,Michael,Glosson,,,B,
"Goat.Sheep.Cow - North, LLC",804 Meeting Street Suite 102,Charleston,SC,29403,"Goat.Sheep.Cow - North, LLC",804 Meeting Street,Charleston,SC,29403,"Goat.Sheep.Cow - North, LLC",Patricia,Floersheimer,,,B,
Lowcountry Lemonade,86 Cypress St,Charleston,SC,29403,Lowcountry Lemonade,86 Cypress St,Charleston,SC,29403,Lowcountry Lemonade,Desiree,Hunter,,,B,
Thrive Organic Eatery,8D Line St.,Charleston,SC,29403,Thrive Organic Eatery,8D Line St.,Charleston,SC,29403,Thrive Organic Eatery,James,Nease,,,B,
Oak Steakhouse,90 Alexander St.,Charleston,SC,29403,Oak Steakhouse,90 Alexander St.,Charleston,SC,29403,Oak Steakhouse,,,,,B,
The Vegetable Bin,96 Spring Street,Charleston,SC,29403,The Vegetable Bin,96 Spring Street,Charleston,SC,29403,The Vegetable Bin,Lauren,Dunn,,,B,
The Royal American,970 Morrison Drive,Charleston,SC,29403,The Royal American,970 Morrison Drive,Charleston,SC,29403,The Royal American,,,,,B,
GFC Donations,990 Morrison Drive,Charleston,SC,29403,GFC Donations,990 Morrison Drive,Charleston,SC,29403,GFC Donations,GrowFood,Carolina,,,B,
GFC-EVENTS,990 Morrison Drive,Charleston,SC,29403,GFC-EVENTS,990 Morrison Drive,Charleston,SC,29403,GFC-EVENTS,Sara,Clow,,,B,
GFC-Value Added,990 Morrison Drive,Charleston,SC,29403,GFC-Value Added,990 Morrison Drive,Charleston,SC,29403,GFC-Value Added,Sara,Clow,,,B,
Green Wave Smoothies,990 Morrison Drive,Charleston,SC,29403,Green Wave Smoothies,990 Morrison Drive,Charleston,SC,29403,Green Wave Smoothies,Dee,Ann,,,B,
Jam Beverage Co,Harmon Street,Charleston,SC,29403,Jam Beverage Co,Harmon Street,Charleston,SC,29403,Jam Beverage Co,Samantha,Fuhr,,,B,
Lowcountry Street Grocery,1630 - 2 Meeting Street,Charleston,SC,29405,Lowcountry Street Grocery,1630 - 2 Meeting Street,Charleston,SC,29405,Lowcountry Street Grocery,Lindsey,Barrow Jr,,,B,
Cru Catering,1784 Harmon St,Charleston,SC,29405,Cru Catering,1784 Harmon St,Charleston,SC,29405,Cru Catering,Chad,TBD,,,B,
Cooper River Brewing Co.,2207 Mechanic St,Charleston,SC,29405,Cooper River Brewing Co.,2207 Mechanic St,Charleston,SC,29405,Cooper River Brewing Co.,Mark,Fesche,,,B,
Duvall Catering,2816 AZALEA DRIVE,Charleston,SC,29405,Duvall Catering,2816 AZALEA DRIVE,Charleston,SC,29405,Duvall Catering,Chef's office line,,,,B,
